,quad_id,lat,lat2,lon,lon2,geometry
1249,1250,40.675037,40.680037,-73.85218199999998,-73.84718199999999,"POLYGON ((-73.84718199999999 40.675037, -73.84718199999999 40.680037, -73.85218199999998 40.680037, -73.85218199999998 40.675037, -73.84718199999999 40.675037))"
1250,1251,40.675037,40.680037,-73.84718199999999,-73.842182,"POLYGON ((-73.842182 40.675037, -73.842182 40.680037, -73.84718199999999 40.680037, -73.84718199999999 40.675037, -73.842182 40.675037))"
1252,1253,40.675037,40.680037,-73.83718199999998,-73.83218199999999,"POLYGON ((-73.83218199999999 40.675037, -73.83218199999999 40.680037, -73.83718199999998 40.680037, -73.83718199999998 40.675037, -73.83218199999999 40.675037))"
1254,1255,40.675037,40.680037,-73.827182,-73.82218199999998,"POLYGON ((-73.82218199999998 40.675037, -73.82218199999998 40.680037, -73.827182 40.680037, -73.827182 40.675037, -73.82218199999998 40.675037))"
1255,1256,40.675037,40.680037,-73.82218199999998,-73.81718199999999,"POLYGON ((-73.81718199999999 40.675037, -73.81718199999999 40.680037, -73.82218199999998 40.680037, -73.82218199999998 40.675037, -73.81718199999999 40.675037))"
1256,1257,40.675037,40.680037,-73.81718199999999,-73.81218199999999,"POLYGON ((-73.81218199999999 40.675037, -73.81218199999999 40.680037, -73.81718199999999 40.680037, -73.81718199999999 40.675037, -73.81218199999999 40.675037))"
1258,1259,40.675037,40.680037,-73.80718199999998,-73.80218199999999,"POLYGON ((-73.80218199999999 40.675037, -73.80218199999999 40.680037, -73.80718199999998 40.680037, -73.80718199999998 40.675037, -73.80218199999999 40.675037))"
1259,1260,40.675037,40.680037,-73.80218199999999,-73.79718199999999,"POLYGON ((-73.79718199999999 40.675037, -73.79718199999999 40.680037, -73.80218199999999 40.680037, -73.80218199999999 40.675037, -73.79718199999999 40.675037))"
1260,1261,40.675037,40.680037,-73.79718199999999,-73.79218199999998,"POLYGON ((-73.79218199999998 40.675037, -73.79218199999998 40.680037, -73.79718199999999 40.680037, -73.79718199999999 40.675037, -73.79218199999998 40.675037))"
1261,1262,40.675037,40.680037,-73.79218199999998,-73.78718199999999,"POLYGON ((-73.78718199999999 40.675037, -73.78718199999999 40.680037, -73.79218199999998 40.680037, -73.79218199999998 40.675037, -73.78718199999999 40.675037))"
1263,1264,40.675037,40.680037,-73.78218199999999,-73.777182,"POLYGON ((-73.777182 40.675037, -73.777182 40.680037, -73.78218199999999 40.680037, -73.78218199999999 40.675037, -73.777182 40.675037))"
1264,1265,40.675037,40.680037,-73.777182,-73.77218199999999,"POLYGON ((-73.77218199999999 40.675037, -73.77218199999999 40.680037, -73.777182 40.680037, -73.777182 40.675037, -73.77218199999999 40.675037))"
1267,1268,40.675037,40.680037,-73.762182,-73.75718199999999,"POLYGON ((-73.75718199999999 40.675037, -73.75718199999999 40.680037, -73.762182 40.680037, -73.762182 40.675037, -73.75718199999999 40.675037))"
1270,1271,40.675037,40.680037,-73.747182,-73.74218199999999,"POLYGON ((-73.74218199999999 40.675037, -73.74218199999999 40.680037, -73.747182 40.680037, -73.747182 40.675037, -73.74218199999999 40.675037))"
1272,1273,40.675037,40.680037,-73.73718199999999,-73.732182,"POLYGON ((-73.732182 40.675037, -73.732182 40.680037, -73.73718199999999 40.680037, -73.73718199999999 40.675037, -73.732182 40.675037))"
1273,1274,40.675037,40.680037,-73.732182,-73.72718199999998,"POLYGON ((-73.72718199999998 40.675037, -73.72718199999998 40.680037, -73.732182 40.680037, -73.732182 40.675037, -73.72718199999998 40.675037))"
1274,1275,40.675037,40.680037,-73.72718199999998,-73.72218199999999,"POLYGON ((-73.72218199999999 40.675037, -73.72218199999999 40.680037, -73.72718199999998 40.680037, -73.72718199999998 40.675037, -73.72218199999999 40.675037))"
1276,1277,40.675037,40.680037,-73.717182,-73.71218199999998,"POLYGON ((-73.71218199999998 40.675037, -73.71218199999998 40.680037, -73.717182 40.680037, -73.717182 40.675037, -73.71218199999998 40.675037))"
1277,1278,40.675037,40.680037,-73.71218199999998,-73.70718199999999,"POLYGON ((-73.70718199999999 40.675037, -73.70718199999999 40.680037, -73.71218199999998 40.680037, -73.71218199999998 40.675037, -73.70718199999999 40.675037))"
1289,1290,40.680037,40.685037,-74.05218199999999,-74.04718199999999,"POLYGON ((-74.04718199999999 40.680037, -74.04718199999999 40.685037, -74.05218199999999 40.685037, -74.05218199999999 40.680037, -74.04718199999999 40.680037))"
1296,1297,40.680037,40.685037,-74.01718199999999,-74.012182,"POLYGON ((-74.012182 40.680037, -74.012182 40.685037, -74.01718199999999 40.685037, -74.01718199999999 40.680037, -74.012182 40.680037))"
1297,1298,40.680037,40.685037,-74.012182,-74.00718199999999,"POLYGON ((-74.00718199999999 40.680037, -74.00718199999999 40.685037, -74.012182 40.685037, -74.012182 40.680037, -74.00718199999999 40.680037))"
1298,1299,40.680037,40.685037,-74.00718199999999,-74.00218199999999,"POLYGON ((-74.00218199999999 40.680037, -74.00218199999999 40.685037, -74.00718199999999 40.685037, -74.00718199999999 40.680037, -74.00218199999999 40.680037))"
1299,1300,40.680037,40.685037,-74.00218199999999,-73.997182,"POLYGON ((-73.997182 40.680037, -73.997182 40.685037, -74.00218199999999 40.685037, -74.00218199999999 40.680037, -73.997182 40.680037))"
1300,1301,40.680037,40.685037,-73.997182,-73.99218199999999,"POLYGON ((-73.99218199999999 40.680037, -73.99218199999999 40.685037, -73.997182 40.685037, -73.997182 40.680037, -73.99218199999999 40.680037))"
